Level 1,Level 2,Level 3,Level 4,Full URL,Page Name,Writer,Status,Priority,Research Summary,Writer Brief Link,AI Brief Link,Target Keywords,Volume,Phase,Notes
Homepage,,,,https://www.topendsports.com/sport/betting/index.htm,Best Sports Betting Sites 2025,Lewis Humphries,Not Started,Critical,Best Sports Betting Sites 2025 (Betting Homepage).docx,Best Sports Betting Sites 2025.docx,AI ENHANCEMENT BRIEF Best Sports Betting Sites 2025 (Homepage).docx,"best sports betting sites, best online sportsbooks",2900,PHASE 1,Main hub - Week 1
,Comparison Pages,,,https://www.topendsports.com/sport/betting/best-apps.htm,Best Sports Betting Apps 2025,Lewis Humphries,Not Started,Critical,Research Summary Best Sports Betting Apps.docx,WRITER BRIEF Best Sports Betting Apps.docx,AI ENHANCEMENT BRIEF Best Sports Betting Apps.docx,sports betting apps,20000,PHASE 1,CHANGED from best betting apps - 5x more volume
,,Best Bonuses,,https://www.topendsports.com/sport/betting/best-bonuses.htm,Best Sportsbook Bonuses & Promos,Lewis Humphries,Not Started,Critical,RESEARCH SUMMARY Best Sportsbook Bonuses.docx,WRITER BRIEF Best Sportsbook Bonuses.docx,AI ENHANCEMENT BRIEF Best Sportsbook Bonuses.docx,sportsbook promos,5900,PHASE 1,CHANGED from best sportsbook bonuses - 8x more volume
,,Compare Sportsbooks,,https://www.topendsports.com/sport/betting/compare-sportsbooks.htm,Compare Best Sportsbooks 2025,Lewis Humphries,Not Started,High,RESEARCH SUMMARY Compare Sportsbooks.docx,WRITER BRIEF Compare Sportsbooks.docx,AI ENHANCEMENT BRIEF Compare Sportsbooks.docx,compare sportsbooks,400,PHASE 1,
,,Best Prop Sites,,https://www.topendsports.com/sport/betting/best-prop-betting-sites.htm,Best Prop Betting Sites,Lewis Humphries,Not Started,High,Research Summary Best Prop Betting Sites.docx,WRITER BRIEF Best Prop Betting Sites.docx,AI ENHANCEMENT BRIEF Best Prop Betting Sites.docx,prop betting sites,1000,PHASE 1,Parent topic version
,,Best Live Sites,,https://www.topendsports.com/sport/betting/best-live-betting-sites.htm,Best Live Betting Sites,Tom Goldsmith,Not Started,Medium,RESEARCH SUMMARY Best Live Betting Sites.docx,WRITER BRIEF Best Live Betting Sites 2025.docx,AI ENHANCEMENT BRIEF Best Live Betting Sites.docx,best live betting sites,150,PHASE 1,
,,Best SGP Sites,,https://www.topendsports.com/sport/betting/best-sgp-sites.htm,Best Same Game Parlay Sites,Lewis Humphries,Not Started,High,RESEARCH SUMMARY Best SGP Sites.docx,WRITER BRIEF Best Same Game Parlay Sites.docx,AI ENHANCEMENT BRIEF Best Same Game Parlay Sites.docx,same game parlay sites,400,PHASE 1,
,,PayPal Sites,,https://www.topendsports.com/sport/betting/paypal-betting-sites.htm,Best PayPal Betting Sites,Tom Goldsmith,Not Started,Medium,Research Summary PayPal Betting Sites.docx,WRITER BRIEF PayPal Betting Sites.docx,AI ENHANCEMENT BRIEF PayPal Betting Sites.docx,paypal betting sites,1500,PHASE 1,
,,New Sites,,https://www.topendsports.com/sport/betting/new-betting-sites.htm,New Betting Sites 2025,Tom Goldsmith,Not Started,Medium,RESEARCH SUMMARY New Betting Sites (HYBRID HONEST APPROACH).docx,WRITER BRIEF New Betting Sites (HYBRID HONEST APPROACH).docx,AI ENHANCEMENT BRIEF New Betting Sites (HYBRID HONEST APPROACH).docx,new betting sites,900,PHASE 1,
,,Crypto Sites,,https://www.topendsports.com/sport/betting/crypto-betting-sites.htm,Best Crypto Betting Sites,Tom Goldsmith,Not Started,Low,Research Summary Best Crypto Betting Sites.docx,WRITER BRIEF Best Crypto Betting Sites.docx,AI ENHANCEMENT BRIEF Best Crypto Betting Sites.docx,crypto betting sites,1100,PHASE 1,
