Level 1,Level 2,Level 3,Level 4,Full URL,Page Name,Writer,Status,Priority,Research Summary,Writer Brief Link,AI Brief Link,Target Keywords,Volume,Phase,Notes
UK Betting,,,,https://www.topendsports.com/sport/betting/uk/index.htm,Best Betting Sites UK,Lewis Humphries,Not Started,Critical,,,,best betting sites uk,3200,PHASE 1,UK Market Hub - Ahrefs researched
,Comparison Pages,,,https://www.topendsports.com/sport/betting/uk/betting-apps.htm,Best Betting Apps UK,Lewis Humphries,Not Started,High,,,,best betting apps uk,450,PHASE 1,UK Market
,,New Sites,,https://www.topendsports.com/sport/betting/uk/new-betting-sites.htm,New Betting Sites UK,Lewis Humphries,Not Started,High,,,,new betting sites uk,1800,PHASE 1,UK Market - Separate parent topic confirmed
,,Free Bets,,https://www.topendsports.com/sport/betting/uk/free-bets.htm,Free Bets UK,Lewis Humphries,Not Started,Critical,,,,free bets uk,1600,PHASE 1,UK Market - High volume
,,Betting Offers,,https://www.topendsports.com/sport/betting/uk/betting-offers.htm,Betting Offers UK,Lewis Humphries,Not Started,High,,,,new customer betting offers,1200,PHASE 1,UK Market - 37K traffic potential
,,Football Betting,,https://www.topendsports.com/sport/betting/uk/football-betting-sites.htm,Football Betting Sites UK,Tom Goldsmith,Not Started,High,,,,football betting sites,3100,PHASE 1,UK Market
,,Horse Racing,,https://www.topendsports.com/sport/betting/uk/horse-racing-betting.htm,Horse Racing Betting Sites,Tom Goldsmith,Not Started,Medium,,,,horse racing betting sites,2200,PHASE 1,UK Market
,Sportsbook Reviews,,,https://www.topendsports.com/sport/betting/uk/bet442-review.htm,Bet442 Sport Review,Lewis Humphries,Not Started,Critical,,,,bet442 sport,,PHASE 1,UK Brand #1
,,LuckyMate,,https://www.topendsports.com/sport/betting/uk/luckymate-review.htm,LuckyMate Sport Review,Lewis Humphries,Not Started,Critical,,,,luckymate sport,,PHASE 1,UK Brand #2
,,NRGbet,,https://www.topendsports.com/sport/betting/uk/nrgbet-review.htm,NRGbet Sports Review,Lewis Humphries,Not Started,High,,,,nrgbet sports,,PHASE 1,UK Brand #3
,,Myriadplay,,https://www.topendsports.com/sport/betting/uk/myriadplay-review.htm,Myriadplay Sport Review,Tom Goldsmith,Not Started,High,,,,myriadplay sport,,PHASE 1,UK Brand #4
,,7Bet,,https://www.topendsports.com/sport/betting/uk/7bet-review.htm,7Bet Sport Review,Tom Goldsmith,Not Started,High,,,,7bet sport,,PHASE 1,UK Brand #5
,,7Bet Promo,,https://www.topendsports.com/sport/betting/uk/7bet-promo-code.htm,7Bet Promo Code,Tom Goldsmith,Not Started,High,,,,7bet promo code,200,PHASE 1,UK Brand #5 Promo - 200 volume
,,Mr Luck,,https://www.topendsports.com/sport/betting/uk/mrluck-review.htm,Mr Luck Sport Review,Tom Goldsmith,Not Started,Medium,,,,mr luck sport,,PHASE 1,UK Brand #6
,,MogoBet,,https://www.topendsports.com/sport/betting/uk/mogobet-review.htm,MogoBet Sport Review,Tom Goldsmith,Not Started,Medium,,,,mogobet sport,,PHASE 1,UK Brand #7
,,Highbet,,https://www.topendsports.com/sport/betting/uk/highbet-review.htm,Highbet Sport Review,Tom Goldsmith,Not Started,Low,,,,highbet sport,,PHASE 1,UK Brand #8
,,Highbet Promo,,https://www.topendsports.com/sport/betting/uk/highbet-promo-code.htm,Highbet Promo Code,Tom Goldsmith,Not Started,Low,,,,highbet promo code,150,PHASE 1,UK Brand #8 Promo - 150 volume
,,22bet,,https://www.topendsports.com/sport/betting/uk/22bet-review.htm,22bet Sport Review,Tom Goldsmith,Not Started,Medium,,,,22bet uk,,PHASE 1,UK Brand - Also in IE
,,22bet Promo,,https://www.topendsports.com/sport/betting/uk/22bet-promo-code.htm,22bet Promo Code,Tom Goldsmith,Not Started,Medium,,,,22bet promo code,300,PHASE 1,UK Brand Promo - 300 volume
Ireland Betting,,,,https://www.topendsports.com/sport/betting/ireland/index.htm,Best Betting Sites Ireland,Lewis Humphries,Not Started,Critical,,,,best betting sites ireland,450,PHASE 1,Ireland Market Hub - Ahrefs researched
,Comparison Pages,,,https://www.topendsports.com/sport/betting/ireland/betting-apps.htm,Best Betting Apps Ireland,Lewis Humphries,Not Started,High,,,,best betting apps ireland,150,PHASE 1,Ireland Market
,,Free Bets,,https://www.topendsports.com/sport/betting/ireland/free-bets.htm,Free Bets Ireland,Lewis Humphries,Not Started,High,,,,free bets ireland,150,PHASE 1,Ireland Market
,Sportsbook Reviews,,,https://www.topendsports.com/sport/betting/ireland/lunubet-review.htm,Lunubet Sport Review,Lewis Humphries,Not Started,Critical,,,,lunubet sport,,PHASE 1,Ireland Brand #1
,,Betalright,,https://www.topendsports.com/sport/betting/ireland/betalright-review.htm,Betalright Sports Review,Lewis Humphries,Not Started,Critical,,,,betalright sports,,PHASE 1,Ireland Brand #2
,,Casina,,https://www.topendsports.com/sport/betting/ireland/casina-review.htm,Casina Sport Review,Lewis Humphries,Not Started,High,,,,casina sport,,PHASE 1,Ireland Brand #3
,,Festival Play,,https://www.topendsports.com/sport/betting/ireland/festivalplay-review.htm,Festival Play Sport Review,Tom Goldsmith,Not Started,High,,,,festival play sport,,PHASE 1,Ireland Brand #4
,,Millioner,,https://www.topendsports.com/sport/betting/ireland/millioner-review.htm,Millioner Sport Review,Tom Goldsmith,Not Started,High,,,,millioner sport,,PHASE 1,Ireland Brand #5
,,Betovo,,https://www.topendsports.com/sport/betting/ireland/betovo-review.htm,Betovo Sport Review,Tom Goldsmith,Not Started,Medium,,,,betovo sport,,PHASE 1,Ireland Brand #6
,,22bet,,https://www.topendsports.com/sport/betting/ireland/22bet-review.htm,22bet Sport Review,Tom Goldsmith,Not Started,Medium,,,,22bet ireland,,PHASE 1,Ireland Brand #7
,,Big Clash,,https://www.topendsports.com/sport/betting/ireland/bigclash-review.htm,Big Clash Sport Review,Tom Goldsmith,Not Started,Medium,,,,big clash sport,,PHASE 1,Ireland Brand #8
,,Rabona,,https://www.topendsports.com/sport/betting/ireland/rabona-review.htm,Rabona Sports Review,Tom Goldsmith,Not Started,Low,,,,rabona sports,,PHASE 1,Ireland Brand #9
,,Wonder Luck,,https://www.topendsports.com/sport/betting/ireland/wonderluck-review.htm,Wonder Luck Sport Review,Tom Goldsmith,Not Started,Low,,,,wonder luck sport,,PHASE 1,Ireland Brand #10
Canada Betting,,,,https://www.topendsports.com/sport/betting/canada/index.htm,Best Sports Betting Sites Canada,Lewis Humphries,Not Started,Critical,,,,sports betting canada,2400,PHASE 1,Canada Market Hub - Ahrefs researched (Non-Ontario)
,Comparison Pages,,,https://www.topendsports.com/sport/betting/canada/betting-apps.htm,Best Sports Betting Apps Canada,Lewis Humphries,Not Started,High,,,,betting apps canada,600,PHASE 1,Canada Market
,,New Sites,,https://www.topendsports.com/sport/betting/canada/new-betting-sites.htm,New Betting Sites Canada,Tom Goldsmith,Not Started,Medium,,,,new betting sites canada,200,PHASE 1,Canada Market
,Sportsbook Reviews,,,https://www.topendsports.com/sport/betting/canada/treasurespins-review.htm,Treasure Spins Sport Review,Lewis Humphries,Not Started,Critical,,,,treasure spins sport,,PHASE 1,Canada Brand #1 - Sports verified
,,Royalistplay,,https://www.topendsports.com/sport/betting/canada/royalistplay-review.htm,Royalistplay Sport Review,Lewis Humphries,Not Started,Critical,,,,royalistplay sport,,PHASE 1,Canada Brand #2 - Sports verified
,,Wyns,,https://www.topendsports.com/sport/betting/canada/wyns-review.htm,Wyns Sport Review,Lewis Humphries,Not Started,High,,,,wyns sport,,PHASE 1,Canada Brand #3 - Sports verified
,,Lucky7even,,https://www.topendsports.com/sport/betting/canada/lucky7even-review.htm,Lucky7even Sport Review,Tom Goldsmith,Not Started,High,,,,lucky7even sport,,PHASE 1,Canada Brand #4 - Sports status unclear
,,Festival Play,,https://www.topendsports.com/sport/betting/canada/festivalplay-review.htm,Festival Play Sport Review,Tom Goldsmith,Not Started,High,,,,festival play sport,,PHASE 1,Canada Brand #5 - Sports verified
,,Lizaro,,https://www.topendsports.com/sport/betting/canada/lizaro-review.htm,Lizaro Sport Review,Tom Goldsmith,Not Started,Medium,,,,lizaro sport,,PHASE 1,Canada Brand #6 - Sports verified
,,Legendplay,,https://www.topendsports.com/sport/betting/canada/legendplay-review.htm,Legendplay Sport Review,Tom Goldsmith,Not Started,Medium,,,,legendplay sport,,PHASE 1,Canada Brand #7 - Sports verified
,,Funbet,,https://www.topendsports.com/sport/betting/canada/funbet-review.htm,Funbet Sport Review,Tom Goldsmith,Not Started,Medium,,,,funbet sport,,PHASE 1,Canada Brand #8 - Sports verified
,,DirectionBet,,https://www.topendsports.com/sport/betting/canada/directionbet-review.htm,DirectionBet Sport Review,Tom Goldsmith,Not Started,Low,,,,directionbet sport,,PHASE 1,Canada Brand #9 - Sports verified
