Level 1,Level 2,Level 3,Level 4,Full URL,Page Name,Writer,Status,Priority,Research Summary,Writer Brief Link,AI Brief Link,Target Keywords,Volume,Phase,Notes
Colorado Betting,,,,https://www.topendsports.com/sport/betting/colorado/index.htm,Best Betting Sites in Colorado,Lewis Humphries,Not Started,Critical,,,,best betting sites colorado,,PHASE 1,Colorado Hub - License Obtained - Regulator: Colorado Division of Gaming
Colorado Betting,Comparison Pages,,,https://www.topendsports.com/sport/betting/colorado/betting-apps.htm,Best Betting Apps in Colorado,Lewis Humphries,Not Started,High,,,,best betting apps colorado,,PHASE 1,Colorado Apps
Colorado Betting,Comparison Pages,Bonuses,,https://www.topendsports.com/sport/betting/colorado/bonuses.htm,Best Sportsbook Bonuses in Colorado,Lewis Humphries,Not Started,High,,,,sportsbook bonuses colorado,,PHASE 1,Colorado Bonuses
Colorado Betting,Sportsbook Reviews,FanDuel,,https://www.topendsports.com/sport/betting/colorado/fanduel-review.htm,FanDuel Colorado Review,Lewis Humphries,Not Started,Critical,,,,fanduel colorado,,PHASE 1,Colorado Brand #1
Colorado Betting,Sportsbook Reviews,FanDuel,Promo Code,https://www.topendsports.com/sport/betting/colorado/fanduel-promo-code.htm,FanDuel Colorado Promo Code,Lewis Humphries,Not Started,High,,,,fanduel promo code colorado,,PHASE 1,Colorado FanDuel Promo
Colorado Betting,Sportsbook Reviews,DraftKings,,https://www.topendsports.com/sport/betting/colorado/draftkings-review.htm,DraftKings Colorado Review,Lewis Humphries,Not Started,Critical,,,,draftkings colorado,,PHASE 1,Colorado Brand #2
Colorado Betting,Sportsbook Reviews,DraftKings,Promo Code,https://www.topendsports.com/sport/betting/colorado/draftkings-promo-code.htm,DraftKings Colorado Promo Code,Lewis Humphries,Not Started,High,,,,draftkings promo code colorado,,PHASE 1,Colorado DraftKings Promo
Colorado Betting,Sportsbook Reviews,BetMGM,,https://www.topendsports.com/sport/betting/colorado/betmgm-review.htm,BetMGM Colorado Review,Lewis Humphries,Not Started,High,,,,betmgm colorado,,PHASE 1,Colorado Brand #3
Colorado Betting,Sportsbook Reviews,BetMGM,Promo Code,https://www.topendsports.com/sport/betting/colorado/betmgm-promo-code.htm,BetMGM Colorado Promo Code,Lewis Humphries,Not Started,High,,,,betmgm promo code colorado,,PHASE 1,Colorado BetMGM Promo
Colorado Betting,Sportsbook Reviews,Caesars,,https://www.topendsports.com/sport/betting/colorado/caesars-review.htm,Caesars Colorado Review,Lewis Humphries,Not Started,High,,,,caesars colorado,,PHASE 1,Colorado Brand #4
Colorado Betting,Sportsbook Reviews,Caesars,Promo Code,https://www.topendsports.com/sport/betting/colorado/caesars-promo-code.htm,Caesars Colorado Promo Code,Lewis Humphries,Not Started,Medium,,,,caesars promo code colorado,,PHASE 1,Colorado Caesars Promo
Colorado Betting,Sportsbook Reviews,bet365,,https://www.topendsports.com/sport/betting/colorado/bet365-review.htm,bet365 Colorado Review,Lewis Humphries,Not Started,High,,,,bet365 colorado,,PHASE 1,Colorado Brand #5
Colorado Betting,Sportsbook Reviews,bet365,Promo Code,https://www.topendsports.com/sport/betting/colorado/bet365-promo-code.htm,bet365 Colorado Promo Code,Lewis Humphries,Not Started,Medium,,,,bet365 promo code colorado,,PHASE 1,Colorado bet365 Promo
Colorado Betting,Sportsbook Reviews,BetRivers,,https://www.topendsports.com/sport/betting/colorado/betrivers-review.htm,BetRivers Colorado Review,Lewis Humphries,Not Started,Medium,,,,betrivers colorado,,PHASE 1,Colorado Brand #6
Colorado Betting,Sportsbook Reviews,BetRivers,Promo Code,https://www.topendsports.com/sport/betting/colorado/betrivers-promo-code.htm,BetRivers Colorado Promo Code,Lewis Humphries,Not Started,Medium,,,,betrivers promo code colorado,,PHASE 1,Colorado BetRivers Promo
Colorado Betting,Sportsbook Reviews,Fanatics,,https://www.topendsports.com/sport/betting/colorado/fanatics-review.htm,Fanatics Colorado Review,Lewis Humphries,Not Started,Medium,,,,fanatics colorado,,PHASE 1,Colorado Brand #7
Colorado Betting,Sportsbook Reviews,Fanatics,Promo Code,https://www.topendsports.com/sport/betting/colorado/fanatics-promo-code.htm,Fanatics Colorado Promo Code,Lewis Humphries,Not Started,Medium,,,,fanatics promo code colorado,,PHASE 1,Colorado Fanatics Promo
Colorado Betting,Sportsbook Reviews,theScore Bet,,https://www.topendsports.com/sport/betting/colorado/thescore-bet-review.htm,theScore Bet Colorado Review,Lewis Humphries,Not Started,Medium,,,,thescore bet colorado,,PHASE 1,Colorado Brand #8
Colorado Betting,Sportsbook Reviews,Bally Bet,,https://www.topendsports.com/sport/betting/colorado/bally-bet-review.htm,Bally Bet Colorado Review,Lewis Humphries,Not Started,Medium,,,,bally bet colorado,,PHASE 1,Colorado Brand #9
Colorado Betting,Sportsbook Reviews,Circa Sports,,https://www.topendsports.com/sport/betting/colorado/circa-sports-review.htm,Circa Sports Colorado Review,Lewis Humphries,Not Started,Medium,,,,circa sports colorado,,PHASE 1,Colorado Brand #10
Arizona Betting,,,,https://www.topendsports.com/sport/betting/arizona/index.htm,Best Betting Sites in Arizona,Tom Goldsmith,Not Started,Critical,,,,best betting sites arizona,,PHASE 1,Arizona Hub - License Obtained - Regulator: Arizona Department of Gaming
Arizona Betting,Comparison Pages,,,https://www.topendsports.com/sport/betting/arizona/betting-apps.htm,Best Betting Apps in Arizona,Tom Goldsmith,Not Started,High,,,,best betting apps arizona,,PHASE 1,Arizona Apps
Arizona Betting,Comparison Pages,Bonuses,,https://www.topendsports.com/sport/betting/arizona/bonuses.htm,Best Sportsbook Bonuses in Arizona,Tom Goldsmith,Not Started,High,,,,sportsbook bonuses arizona,,PHASE 1,Arizona Bonuses
Arizona Betting,Sportsbook Reviews,BetMGM,,https://www.topendsports.com/sport/betting/arizona/betmgm-review.htm,BetMGM Arizona Review,Tom Goldsmith,Not Started,Critical,,,,betmgm arizona,,PHASE 1,Arizona Brand #1
Arizona Betting,Sportsbook Reviews,BetMGM,Promo Code,https://www.topendsports.com/sport/betting/arizona/betmgm-promo-code.htm,BetMGM Arizona Promo Code,Tom Goldsmith,Not Started,High,,,,betmgm promo code arizona,,PHASE 1,Arizona BetMGM Promo
Arizona Betting,Sportsbook Reviews,Caesars,,https://www.topendsports.com/sport/betting/arizona/caesars-review.htm,Caesars Arizona Review,Tom Goldsmith,Not Started,Critical,,,,caesars arizona,,PHASE 1,Arizona Brand #2
Arizona Betting,Sportsbook Reviews,Caesars,Promo Code,https://www.topendsports.com/sport/betting/arizona/caesars-promo-code.htm,Caesars Arizona Promo Code,Tom Goldsmith,Not Started,Medium,,,,caesars promo code arizona,,PHASE 1,Arizona Caesars Promo
Arizona Betting,Sportsbook Reviews,bet365,,https://www.topendsports.com/sport/betting/arizona/bet365-review.htm,bet365 Arizona Review,Tom Goldsmith,Not Started,High,,,,bet365 arizona,,PHASE 1,Arizona Brand #3
Arizona Betting,Sportsbook Reviews,bet365,Promo Code,https://www.topendsports.com/sport/betting/arizona/bet365-promo-code.htm,bet365 Arizona Promo Code,Tom Goldsmith,Not Started,Medium,,,,bet365 promo code arizona,,PHASE 1,Arizona bet365 Promo
Arizona Betting,Sportsbook Reviews,Hard Rock Bet,,https://www.topendsports.com/sport/betting/arizona/hard-rock-bet-review.htm,Hard Rock Bet Arizona Review,Tom Goldsmith,Not Started,High,,,,hard rock bet arizona,,PHASE 1,Arizona Brand #4
Arizona Betting,Sportsbook Reviews,Hard Rock Bet,Promo Code,https://www.topendsports.com/sport/betting/arizona/hard-rock-bet-promo-code.htm,Hard Rock Bet Arizona Promo Code,Tom Goldsmith,Not Started,Medium,,,,hard rock bet promo code arizona,,PHASE 1,Arizona Hard Rock Bet Promo
Arizona Betting,Sportsbook Reviews,Fanatics,,https://www.topendsports.com/sport/betting/arizona/fanatics-review.htm,Fanatics Arizona Review,Tom Goldsmith,Not Started,High,,,,fanatics arizona,,PHASE 1,Arizona Brand #5
Arizona Betting,Sportsbook Reviews,Fanatics,Promo Code,https://www.topendsports.com/sport/betting/arizona/fanatics-promo-code.htm,Fanatics Arizona Promo Code,Tom Goldsmith,Not Started,Medium,,,,fanatics promo code arizona,,PHASE 1,Arizona Fanatics Promo
Arizona Betting,Sportsbook Reviews,BetRivers,,https://www.topendsports.com/sport/betting/arizona/betrivers-review.htm,BetRivers Arizona Review,Tom Goldsmith,Not Started,Medium,,,,betrivers arizona,,PHASE 1,Arizona Brand #6
Arizona Betting,Sportsbook Reviews,BetRivers,Promo Code,https://www.topendsports.com/sport/betting/arizona/betrivers-promo-code.htm,BetRivers Arizona Promo Code,Tom Goldsmith,Not Started,Medium,,,,betrivers promo code arizona,,PHASE 1,Arizona BetRivers Promo
Arizona Betting,Sportsbook Reviews,FanDuel,,https://www.topendsports.com/sport/betting/arizona/fanduel-review.htm,FanDuel Arizona Review,Tom Goldsmith,Not Started,Medium,,,,fanduel arizona,,PHASE 1,Arizona Brand #7
Arizona Betting,Sportsbook Reviews,FanDuel,Promo Code,https://www.topendsports.com/sport/betting/arizona/fanduel-promo-code.htm,FanDuel Arizona Promo Code,Tom Goldsmith,Not Started,High,,,,fanduel promo code arizona,,PHASE 1,Arizona FanDuel Promo
Arizona Betting,Sportsbook Reviews,DraftKings,,https://www.topendsports.com/sport/betting/arizona/draftkings-review.htm,DraftKings Arizona Review,Tom Goldsmith,Not Started,Medium,,,,draftkings arizona,,PHASE 1,Arizona Brand #8
Arizona Betting,Sportsbook Reviews,DraftKings,Promo Code,https://www.topendsports.com/sport/betting/arizona/draftkings-promo-code.htm,DraftKings Arizona Promo Code,Tom Goldsmith,Not Started,High,,,,draftkings promo code arizona,,PHASE 1,Arizona DraftKings Promo
Pennsylvania Betting,,,,https://www.topendsports.com/sport/betting/pennsylvania/index.htm,Best Betting Sites in Pennsylvania,Lewis Humphries,Not Started,Critical,,,,best betting sites pennsylvania,,PHASE 1,Pennsylvania Hub - License Obtained - Regulator: Pennsylvania Gaming Control Board
Pennsylvania Betting,Comparison Pages,,,https://www.topendsports.com/sport/betting/pennsylvania/betting-apps.htm,Best Betting Apps in Pennsylvania,Lewis Humphries,Not Started,High,,,,best betting apps pennsylvania,,PHASE 1,Pennsylvania Apps
Pennsylvania Betting,Comparison Pages,Bonuses,,https://www.topendsports.com/sport/betting/pennsylvania/bonuses.htm,Best Sportsbook Bonuses in Pennsylvania,Lewis Humphries,Not Started,High,,,,sportsbook bonuses pennsylvania,,PHASE 1,Pennsylvania Bonuses
Pennsylvania Betting,Sportsbook Reviews,FanDuel,,https://www.topendsports.com/sport/betting/pennsylvania/fanduel-review.htm,FanDuel Pennsylvania Review,Lewis Humphries,Not Started,Critical,,,,fanduel pennsylvania,,PHASE 1,Pennsylvania Brand #1
Pennsylvania Betting,Sportsbook Reviews,FanDuel,Promo Code,https://www.topendsports.com/sport/betting/pennsylvania/fanduel-promo-code.htm,FanDuel Pennsylvania Promo Code,Lewis Humphries,Not Started,High,,,,fanduel promo code pennsylvania,,PHASE 1,Pennsylvania FanDuel Promo
Pennsylvania Betting,Sportsbook Reviews,DraftKings,,https://www.topendsports.com/sport/betting/pennsylvania/draftkings-review.htm,DraftKings Pennsylvania Review,Lewis Humphries,Not Started,Critical,,,,draftkings pennsylvania,,PHASE 1,Pennsylvania Brand #2
Pennsylvania Betting,Sportsbook Reviews,DraftKings,Promo Code,https://www.topendsports.com/sport/betting/pennsylvania/draftkings-promo-code.htm,DraftKings Pennsylvania Promo Code,Lewis Humphries,Not Started,High,,,,draftkings promo code pennsylvania,,PHASE 1,Pennsylvania DraftKings Promo
Pennsylvania Betting,Sportsbook Reviews,BetMGM,,https://www.topendsports.com/sport/betting/pennsylvania/betmgm-review.htm,BetMGM Pennsylvania Review,Lewis Humphries,Not Started,High,,,,betmgm pennsylvania,,PHASE 1,Pennsylvania Brand #3
Pennsylvania Betting,Sportsbook Reviews,BetMGM,Promo Code,https://www.topendsports.com/sport/betting/pennsylvania/betmgm-promo-code.htm,BetMGM Pennsylvania Promo Code,Lewis Humphries,Not Started,High,,,,betmgm promo code pennsylvania,,PHASE 1,Pennsylvania BetMGM Promo
Pennsylvania Betting,Sportsbook Reviews,Caesars,,https://www.topendsports.com/sport/betting/pennsylvania/caesars-review.htm,Caesars Pennsylvania Review,Lewis Humphries,Not Started,High,,,,caesars pennsylvania,,PHASE 1,Pennsylvania Brand #4
Pennsylvania Betting,Sportsbook Reviews,Caesars,Promo Code,https://www.topendsports.com/sport/betting/pennsylvania/caesars-promo-code.htm,Caesars Pennsylvania Promo Code,Lewis Humphries,Not Started,Medium,,,,caesars promo code pennsylvania,,PHASE 1,Pennsylvania Caesars Promo
Pennsylvania Betting,Sportsbook Reviews,bet365,,https://www.topendsports.com/sport/betting/pennsylvania/bet365-review.htm,bet365 Pennsylvania Review,Lewis Humphries,Not Started,High,,,,bet365 pennsylvania,,PHASE 1,Pennsylvania Brand #5
Pennsylvania Betting,Sportsbook Reviews,bet365,Promo Code,https://www.topendsports.com/sport/betting/pennsylvania/bet365-promo-code.htm,bet365 Pennsylvania Promo Code,Lewis Humphries,Not Started,Medium,,,,bet365 promo code pennsylvania,,PHASE 1,Pennsylvania bet365 Promo
Pennsylvania Betting,Sportsbook Reviews,BetRivers,,https://www.topendsports.com/sport/betting/pennsylvania/betrivers-review.htm,BetRivers Pennsylvania Review,Lewis Humphries,Not Started,Medium,,,,betrivers pennsylvania,,PHASE 1,Pennsylvania Brand #6
